Date,Open,High,Low,Close
11/29/2021,0.01479,0.01564,0.01479,0.01500
11/26/2021,0.01641,0.01641,0.01479,0.01479
11/25/2021,0.01641,0.01641,0.01641,0.01641
11/24/2021,0.01669,0.01697,0.01630,0.01666
11/23/2021,0.01630,0.01682,0.01619,0.01631
11/22/2021,0.01549,0.01637,0.01549,0.01538
11/19/2021,0.01590,0.01606,0.01516,0.01549
11/18/2021,0.01592,0.01613,0.01578,0.01608
11/17/2021,0.01640,0.01651,0.01586,0.01592
11/16/2021,0.01622,0.01647,0.01595,0.01640
11/15/2021,0.01566,0.01632,0.01541,0.01584
11/12/2021,0.01554,0.01586,0.01541,0.01566
11/10/2021,0.01441,0.01577,0.01441,0.01554
11/9/2021,0.01492,0.01493,0.01418,0.01441
11/8/2021,0.01453,0.01504,0.01453,0.01492
11/5/2021,0.01529,0.01554,0.01438,0.01453
11/4/2021,0.01606,0.01607,0.01511,0.01584
11/3/2021,0.01553,0.01608,0.01523,0.01606
11/2/2021,0.01562,0.01575,0.01531,0.01553
11/1/2021,0.01560,0.01601,0.01555,0.01562
10/29/2021,0.01579,0.01623,0.01537,0.01560
10/28/2021,0.01549,0.01581,0.01534,0.01579
10/27/2021,0.01610,0.01635,0.01521,0.01549
10/26/2021,0.01635,0.01652,0.01608,0.01610
10/25/2021,0.01636,0.01672,0.01623,0.01635
10/22/2021,0.01702,0.01702,0.01633,0.01636
10/21/2021,0.01660,0.01702,0.01643,0.01702
10/20/2021,0.01639,0.01670,0.01620,0.01660
10/19/2021,0.01596,0.01644,0.01567,0.01639
10/18/2021,0.01575,0.01627,0.01575,0.01596
10/15/2021,0.01516,0.01579,0.01516,0.01575
10/14/2021,0.01539,0.01562,0.01511,0.01516
10/13/2021,0.01575,0.01603,0.01529,0.01539
10/12/2021,0.01613,0.01630,0.01568,0.01575
10/10/2021,0.01613,0.01613,0.01613,0.01613
10/8/2021,0.01577,0.01615,0.01559,0.01613
10/7/2021,0.01524,0.01578,0.01517,0.01577
10/6/2021,0.01529,0.01572,0.01510,0.01524
10/5/2021,0.01482,0.01539,0.01477,0.01529
10/4/2021,0.01463,0.01508,0.01455,0.01482
10/1/2021,0.01487,0.01509,0.01463,0.01463
9/30/2021,0.01521,0.01555,0.01487,0.01487
9/29/2021,0.01541,0.01559,0.01499,0.01521
9/28/2021,0.01485,0.01562,0.01480,0.01541
9/27/2021,0.01454,0.01512,0.01445,0.01485
9/24/2021,0.01435,0.01463,0.01406,0.01454
9/23/2021,0.01311,0.01435,0.01307,0.01435
9/22/2021,0.01325,0.01344,0.01296,0.01311
9/21/2021,0.01313,0.01347,0.01306,0.01325
9/20/2021,0.01371,0.01371,0.01303,0.01313
9/17/2021,0.01335,0.01384,0.01328,0.01371
9/16/2021,0.01301,0.01351,0.01295,0.01335
9/15/2021,0.01291,0.01319,0.01263,0.01301
9/14/2021,0.01326,0.01348,0.01274,0.01291
9/13/2021,0.01340,0.01350,0.01313,0.01326
9/10/2021,0.01303,0.01344,0.01301,0.01341
9/9/2021,0.01344,0.01347,0.01292,0.01303
9/8/2021,0.01373,0.01377,0.01338,0.01344
9/7/2021,0.01326,0.01383,0.01326,0.01373
9/5/2021,0.01326,0.01326,0.01326,0.01326
9/3/2021,0.01289,0.01335,0.01284,0.01326
9/2/2021,0.01300,0.01305,0.01286,0.01289
9/1/2021,0.01308,0.01337,0.01291,0.01300
8/31/2021,0.01280,0.01309,0.01268,0.01308
8/30/2021,0.01305,0.01318,0.01276,0.01280
8/27/2021,0.01357,0.01359,0.01304,0.01314
8/26/2021,0.01349,0.01369,0.01332,0.01357
8/25/2021,0.01295,0.01349,0.01286,0.01349
8/24/2021,0.01253,0.01295,0.01253,0.01295
8/23/2021,0.01261,0.01282,0.01233,0.01253
8/20/2021,0.01246,0.01263,0.01227,0.01261
8/19/2021,0.01262,0.01268,0.01222,0.01246
8/18/2021,0.01264,0.01299,0.01257,0.01262
8/17/2021,0.01276,0.01276,0.01219,0.01264
8/16/2021,0.01286,0.01288,0.01240,0.01276
8/13/2021,0.01362,0.01366,0.01285,0.01286
8/12/2021,0.01337,0.01380,0.01336,0.01362
8/11/2021,0.01357,0.01379,0.01306,0.01337
8/10/2021,0.01323,0.01364,0.01306,0.01357
8/9/2021,0.01303,0.01328,0.01268,0.01323
8/6/2021,0.01224,0.01310,0.01222,0.01303
8/5/2021,0.01184,0.01227,0.01168,0.01224
8/4/2021,0.01175,0.01215,0.01132,0.01184
8/3/2021,0.01178,0.01201,0.01154,0.01175
8/2/2021,0.01228,0.01246,0.01146,0.01178
7/30/2021,0.01272,0.01272,0.01226,0.01228
7/29/2021,0.01234,0.01289,0.01231,0.01272
7/28/2021,0.01247,0.01273,0.01226,0.01234
7/27/2021,0.01297,0.01297,0.01231,0.01247
7/26/2021,0.01276,0.01301,0.01221,0.01297
7/23/2021,0.01280,0.01312,0.01271,0.01276
7/22/2021,0.01292,0.01319,0.01229,0.01280
7/21/2021,0.01224,0.01302,0.01195,0.01292
7/20/2021,0.01194,0.01225,0.01134,0.01224
7/19/2021,0.01294,0.01295,0.01182,0.01194
7/16/2021,0.01299,0.01341,0.01293,0.01294
7/15/2021,0.01345,0.01351,0.01295,0.01299
7/14/2021,0.01423,0.01424,0.01338,0.01345
7/13/2021,0.01365,0.01437,0.01331,0.01423
7/12/2021,0.01360,0.01378,0.01324,0.01365
7/9/2021,0.01298,0.01363,0.01298,0.01360
7/8/2021,0.01319,0.01323,0.01246,0.01298
7/7/2021,0.01352,0.01372,0.01288,0.01319
7/6/2021,0.01437,0.01449,0.01349,0.01352
7/4/2021,0.01437,0.01437,0.01437,0.01437
7/2/2021,0.01455,0.01472,0.01426,0.01437
7/1/2021,0.01469,0.01482,0.01449,0.01455
6/30/2021,0.01472,0.01484,0.01436,0.01469
6/29/2021,0.01478,0.01511,0.01470,0.01472
6/28/2021,0.01528,0.01536,0.01467,0.01478
6/25/2021,0.01493,0.01557,0.01482,0.01528
6/24/2021,0.01486,0.01506,0.01473,0.01493
6/23/2021,0.01467,0.01496,0.01462,0.01486
6/22/2021,0.01499,0.01519,0.01463,0.01467
6/21/2021,0.01438,0.01502,0.01351,0.01499
6/18/2021,0.01509,0.01525,0.01431,0.01438
6/17/2021,0.01580,0.01595,0.01446,0.01509
6/16/2021,0.01498,0.01585,0.01481,0.01580
6/15/2021,0.01498,0.01516,0.01480,0.01498
6/14/2021,0.01453,0.01507,0.01453,0.01498
6/11/2021,0.01441,0.01473,0.01428,0.01453
6/10/2021,0.01490,0.01533,0.01440,0.01441
6/9/2021,0.01543,0.01543,0.01471,0.01490
6/8/2021,0.01573,0.01573,0.01515,0.01543
6/7/2021,0.01554,0.01585,0.01554,0.01573
6/4/2021,0.01625,0.01638,0.01548,0.01554
6/3/2021,0.01588,0.01634,0.01584,0.01625
6/2/2021,0.01613,0.01621,0.01587,0.01588
6/1/2021,0.01584,0.01647,0.01584,0.01613
5/30/2021,0.01584,0.01584,0.01584,0.01584
5/28/2021,0.01611,0.01627,0.01582,0.01584
5/27/2021,0.01578,0.01625,0.01571,0.01605
5/26/2021,0.01558,0.01583,0.01550,0.01578
5/25/2021,0.01603,0.01613,0.01554,0.01558
5/24/2021,0.01619,0.01628,0.01590,0.01603
5/21/2021,0.01624,0.01640,0.01610,0.01619
5/20/2021,0.01675,0.01681,0.01622,0.01624
