Date,Close/Last,Volume,Open,High,Low
12/03/2021,4045.83,N/A,4532.9,4237.56,4045.83
12/02/2021,4533.23,N/A,4510.47,4546.93,4471.59
12/01/2021,4507.02,N/A,4730.3,4617.78,4454.79
11/30/2021,4729.27,N/A,4443.47,4763.96,4604.87
11/29/2021,4444.57,N/A,4323.95,4500.07,4403.69
11/28/2021,4342.37,N/A,4021.35,4370.62,4284.28
11/27/2021,4017.06,N/A,4133.84,4096.24,3980.24
11/26/2021,4142.36,N/A,4420.22,4146.99,4029.06
11/25/2021,4416.37,N/A,4288.21,4548.1,4404.72
11/24/2021,4290.11,N/A,4269.17,4334.41,4248.9
11/23/2021,4265.98,N/A,4168.77,4372.83,4233.03
11/22/2021,4179.59,N/A,4153.63,4190.35,4064.72
11/21/2021,4174.26,N/A,4331.12,4268.07,4152.46
11/20/2021,4334.44,N/A,4292.24,4415.56,4331.9
11/19/2021,4278.03,N/A,4052.89,4332.17,4264.99
11/18/2021,4041.9,N/A,4255.48,4101.88,3978.08
11/17/2021,4271.87,N/A,4135.54,4342.74,4257.28
11/16/2021,4101.79,N/A,4347.29,4240.09,4071.01
11/15/2021,4352.61,N/A,4704.61,4562.97,4264.83
11/14/2021,4701.79,N/A,4633.32,4721.81,4625.71
11/13/2021,4637.12,N/A,4620.4,4692.76,4622.34
11/12/2021,4628.83,N/A,4779.2,4705.02,4615.94
11/11/2021,4780.75,N/A,4635.04,4807.16,4692.86
11/10/2021,4632.16,N/A,4713.26,4645.96,4578.66
11/09/2021,4714.79,N/A,4805.34,4754.23,4679.45
11/08/2021,4796.78,N/A,4719.19,4813.62,4778.9
11/07/2021,4716.81,N/A,4550.24,4735.44,4612.05
11/06/2021,4547.8,N/A,4481.31,4570.01,4502.7
11/05/2021,4486.79,N/A,4506.13,4507,4456.23
11/04/2021,4540.75,N/A,4562.61,4554.23,4470.1
11/03/2021,4552.3,N/A,4599.1,4604.84,4541.84
11/02/2021,4575.86,N/A,4306.76,4639.6,4556.01
11/01/2021,4314.85,N/A,4237.23,4346.39,4287.36
10/31/2021,4198.74,N/A,4367.55,4323.55,4197.15
10/30/2021,4367.71,N/A,4339.87,4393.61,4321.04
10/29/2021,4343.43,N/A,4379.62,4428.41,4332.18
10/28/2021,4364.58,N/A,3994.05,4401.4,4268.21
10/27/2021,3994.83,N/A,4210.01,4017.95,3896.33
10/26/2021,4211.74,N/A,4224.63,4224.08,4118.82
10/25/2021,4221.87,N/A,4135.1,4256.59,4204.64
10/24/2021,4138.39,N/A,4132.4,4142.42,4069.94
10/23/2021,4140.25,N/A,4022.62,4184,4116.97
10/22/2021,4029.33,N/A,4153.04,4035.47,3947.89
10/21/2021,4149.79,N/A,4184.46,4160.44,4053.89
10/20/2021,4178.42,N/A,3844.39,4239.61,4138.42
10/19/2021,3847.36,N/A,3823.44,3899.9,3843.41
10/18/2021,3820.01,N/A,3853.34,3829.62,3733.78
10/17/2021,3845.27,N/A,3879.27,3892.01,3834.18
10/16/2021,3878.53,N/A,3841.45,3888.33,3807.52
10/15/2021,3838.15,N/A,3820.26,3872,3823.55
10/14/2021,3823.41,N/A,3644.12,3838.92,3735.21
10/13/2021,3634.98,N/A,3501.01,3654.36,3588.24
10/12/2021,3504.78,N/A,3482.14,3530.76,3482.99
10/11/2021,3486.56,N/A,3518.25,3541.49,3448.79
10/10/2021,3504.81,N/A,3530.96,3513.25,3381.43
10/09/2021,3534.99,N/A,3581.15,3585.01,3489.52
10/08/2021,3583.71,N/A,3574.74,3588.6,3541.4
10/07/2021,3568.28,N/A,3519.74,3617.2,3553.12
10/06/2021,3528.87,N/A,3488.36,3575.43,3473.47
10/05/2021,3490.22,N/A,3388.16,3537.09,3474.41
10/04/2021,3385,N/A,3336.43,3417.42,3365.28
10/03/2021,3336.75,N/A,3402.49,3425.36,3330.58
10/02/2021,3384.23,N/A,3291.54,3424.57,3346.63
10/01/2021,3291.54,N/A,3023.66,3318.59,3275.76
09/30/2021,2975.1,N/A,3026.78,3038.62,2975.1
09/29/2021,3016.7,N/A,2893.27,3018.04,2837.68
09/28/2021,2882.84,N/A,2947.16,2882.9,2791.79
09/27/2021,3100.37,N/A,2820.58,3163.86,3028.61
09/26/2021,3112.18,N/A,2865.22,3163.86,3028.61
09/25/2021,2864.28,N/A,2913.12,2931.22,2844.18
09/24/2021,2913.53,N/A,3075.29,2955.55,2877.27
09/23/2021,3092.07,N/A,3117.77,3158.38,3085.1
09/22/2021,3100.94,N/A,2869.13,3115.73,3035.96
